Comment,Predicted Class
"Just subscribed, downloading this and will watch in depth later. Excited to learn from what you guys have built",Positive
Could you please do ERPnext tutorial ?,Interrogative
I hate that this is where programming is headed. I’ve chosen the wrong career. So lame. ,Negative
Can you please share this using sharegpt?,Interrogative
"The fact this video is 2-3 hours when the non ChatGPT ones are around 1 hour, kind of defeats the point here.",Negative
Update your web browser,Corrective
People need a course for how to ask questions? ah man,Interrogative
All well and good until there is a hallucination and you don't have the technical background to work out how to fix the error.,Negative
If you are not using Chat GPT 4.0 you just wasting your time doing this. 3.5 is a BOX of ROCKS.,Negative
Nice video ,Positive
U guys make us believe world is still a better place to be,Positive
"I'm using Linux for more than 10 years, but watching this video with great interest. Appreciate it, gj guys!",Positive
Much needed for beginners in Linux,Positive
Please add English subtitles,Imperative
"If you guys remove the brackets around the timestamps and add one for 0:00:00, then YouTube should detect them as video sections and let people navigate through using the interface. If not, you may also need to remove the milliseconds from them.Is it possible to create a bash script to stop/start tomcat and holly services as well as reboot a server?",Corrective
Why is Ubuntu used for cloud deployments?,Interrogative
"why not use debian instead of ubuntu, which for me is windows of linux, it does not add anything",Interrogative
Description is wrong,Negative
It is not fully a linux course rather ML course using linux. I misunderstood from the caption tag used in the video.,Negative
"For those who are expecting to have practical of commands, it's only theories based video nothing practical here.",Negative
Bad explanation,Negative
"Too late now, it's out there for posterity, but green-witch meantime should be pronounced gren-itch meantime. You are American, you can be forgiven!",Corrective
I'd like to interject for a moment.,Neutral
"Wasting time on this course, they did not even teach how first install drivers which is very important that Linux works on your system.",Negative
Too much jargon/acronyms used from the get go for a beginner to comprehend what he's talking about.,Negative
Please we not you can try to cmd,Neutral
YOUTUBE IS PUTTING ADS ON YOUR VIDEO EVERY TWO MINUTES. I CANNOT WATCH.,Negative
plz make GraphQL Course How we Make All type of API in GraphQL plz sir,Interrogative
"Distro is not version. Distro is just a combination of softwares which an iso(installer) comes with.In example, what we call rom in android world, distro is something like that in linux world.                ",Corrective
Linux is a family of open-source Unix-like operating systems based on the Linux kernel. So linux os created on linux kernel. So your first myth is wrong. Like AMD has graphics card and also has proccessors.                   ,Corrective
Want these types of contents more and more,Positive
Such a informative video. Love it,Positive
"We do not have to use any anti-virus in linux, but need to install or add files in other user accounts. Don't install or add any file in the root directory",Corrective
"Linux distro is not a Linux version! More accurately, different operating systems that are based on Linux kernel are called distros (distributions).",Corrective
"Thank you so much covering, this out",Positive
Programmers & Hackers Always love linux,Positive
I want to install Linux but where will i get sound or other driver,Interrogative
Such a good person bro,Positive
well explained,Positive
But linux can not download any software from the web,Neutral
Helpful,Positive
Good work,Positive
Is Linux faster than Windows,Interrogative
very Effective videos,Positive
Wow,Positive
please make a video about GITHUB . Please,Imperative
Nc,Neutral
Good,Positive
Right,Positive
Ubuntu is best,Positive
1st view,Neutral
Open source is shittt,Negative
Linux is more than Android,Neutral
First comment,Neutral
Hi,Neutral
Wonderful content!,Positive
"So refreshing to get a practical, laid back and non-hyped overview.",Positive
finally i can add machine learning specialist to my portfolio,Positive
I still don't get how you can push out so much content with high quality so often/quickly!,Positive
I love the little bits of humour that you inject into the images without acknowledging them in your audio. So good,Positive
"I love this content, and the concise nature in which its delivered!",Positive
"Could you make a step by step guide for migrating an Angular/Firebase app from Firebase sdk v8 to v9? This would be really helpful, keep up the good work !",Interrogative
